,date,incomeNum,queueNum,inProgressNum,doneNum,avgWaitingTime,avgServingTime,avgTime2Done,sim
0,5-2019,100,142,45,108,,9.37037037037037,,0
1,6-2019,100,130,44,112,34.6,13.946428571428571,48.1,0
2,7-2019,100,121,48,109,35.06422018348624,14.385321100917432,49.44954128440367,0
3,8-2019,100,111,45,110,37.53636363636364,13.845454545454546,51.38181818181818,0
4,9-2019,100,103,46,108,34.06481481481482,13.75925925925926,47.824074074074076,0
5,10-2019,100,96,46,107,30.672897196261683,14.261682242990654,44.93457943925234,0
6,11-2019,100,86,47,110,28.927272727272726,14.263636363636364,43.19090909090909,0
7,12-2019,100,77,49,109,26.146788990825687,13.926605504587156,40.07339449541284,0
8,1-2020,100,68,44,109,23.53211009174312,14.082568807339449,37.61467889908257,0
9,2-2020,100,66,47,102,20.784313725490197,14.147058823529411,34.931372549019606,0
10,3-2020,100,59,50,107,18.682242990654206,14.261682242990654,32.94392523364486,0
11,4-2020,100,54,47,105,17.39047619047619,14.58095238095238,31.97142857142857,0
0,5-2019,100,145,48,105,,9.219047619047618,,1
1,6-2019,100,135,45,110,35.733333333333334,14.154545454545454,48.733333333333334,1
2,7-2019,100,117,47,118,35.559322033898304,13.728813559322035,49.28813559322034,1
3,8-2019,100,111,48,106,36.905660377358494,14.10377358490566,51.009433962264154,1
4,9-2019,100,105,48,106,33.87735849056604,14.00943396226415,47.886792452830186,1
5,10-2019,100,91,47,114,30.92105263157895,13.885964912280702,44.80701754385965,1
6,11-2019,100,83,44,108,28.055555555555557,13.731481481481481,41.78703703703704,1
7,12-2019,100,68,47,115,24.16521739130435,13.782608695652174,37.947826086956525,1
8,1-2020,100,57,46,111,21.117117117117118,13.846846846846846,34.96396396396396,1
9,2-2020,100,53,48,104,17.596153846153847,14.028846153846153,31.625,1
10,3-2020,100,47,45,106,15.415094339622641,14.11320754716981,29.528301886792452,1
11,4-2020,100,37,48,110,13.427272727272728,13.854545454545455,27.28181818181818,1
0,5-2019,100,142,45,108,,9.018518518518519,,2
1,6-2019,100,131,47,111,34.63157894736842,13.99099099099099,47.78947368421053,2
2,7-2019,100,121,42,110,35.28181818181818,14.309090909090909,49.59090909090909,2
3,8-2019,100,114,44,107,37.345794392523366,14.214953271028037,51.5607476635514,2
4,9-2019,100,103,47,111,34.52252252252252,13.585585585585585,48.108108108108105,2
5,10-2019,100,93,45,110,30.7,14.090909090909092,44.79090909090909,2
6,11-2019,100,83,48,110,28.4,14.163636363636364,42.56363636363636,2
7,12-2019,100,76,47,107,25.672897196261683,13.88785046728972,39.5607476635514,2
8,1-2020,100,64,49,112,23.044642857142858,13.928571428571429,36.973214285714285,2
9,2-2020,100,64,46,100,19.82,14.39,34.21,2
10,3-2020,100,48,48,116,17.81896551724138,13.594827586206897,31.413793103448278,2
11,4-2020,100,42,47,106,14.933962264150944,14.0,28.933962264150942,2
0,5-2019,100,136,44,114,,8.850877192982455,,3
1,6-2019,100,133,44,103,33.44444444444444,14.233009708737864,46.94444444444444,3
2,7-2019,100,116,46,117,34.439655172413794,14.0,48.37931034482759,3
3,8-2019,100,109,46,107,35.953271028037385,14.121495327102803,50.074766355140184,3
4,9-2019,100,99,47,110,33.06363636363636,14.063636363636364,47.127272727272725,3
5,10-2019,100,88,47,111,29.963963963963963,14.072072072072071,44.03603603603604,3
6,11-2019,100,83,47,105,27.79047619047619,14.019047619047619,41.80952380952381,3
7,12-2019,100,75,46,108,25.203703703703702,14.203703703703704,39.407407407407405,3
8,1-2020,100,66,45,109,22.761467889908257,13.862385321100918,36.62385321100918,3
9,2-2020,100,55,47,111,19.333333333333332,13.756756756756756,33.090090090090094,3
10,3-2020,100,47,45,108,16.47222222222222,13.972222222222221,30.444444444444443,3
11,4-2020,100,36,49,111,14.315315315315315,14.00900900900901,28.324324324324323,3
0,5-2019,100,138,43,112,,8.776785714285714,,4
1,6-2019,100,128,44,110,32.95454545454545,13.718181818181819,46.36363636363637,4
2,7-2019,100,117,43,111,33.585585585585584,14.08108108108108,47.666666666666664,4
3,8-2019,100,101,47,116,35.01724137931034,14.008620689655173,49.025862068965516,4
4,9-2019,100,95,50,106,31.943396226415093,14.09433962264151,46.0377358490566,4
5,10-2019,100,85,45,110,29.009090909090908,13.763636363636364,42.77272727272727,4
6,11-2019,100,75,45,110,25.863636363636363,13.7,39.56363636363636,4
7,12-2019,100,66,49,109,22.31192660550459,14.009174311926605,36.321100917431195,4
8,1-2020,100,56,46,110,19.927272727272726,14.081818181818182,34.00909090909091,4
9,2-2020,100,50,47,106,16.67924528301887,13.773584905660377,30.452830188679247,4
10,3-2020,100,39,47,111,14.144144144144144,13.936936936936936,28.08108108108108,4
11,4-2020,100,30,43,109,11.577981651376147,13.63302752293578,25.211009174311926,4
0,5-2019,100,137,47,113,,9.044247787610619,,5
1,6-2019,100,126,46,111,33.25,13.855855855855856,46.083333333333336,5
2,7-2019,100,116,48,110,34.25454545454546,14.090909090909092,48.345454545454544,5
3,8-2019,100,107,48,109,35.74311926605505,14.119266055045872,49.862385321100916,5
4,9-2019,100,103,45,104,32.82692307692308,13.89423076923077,46.72115384615385,5
5,10-2019,100,90,48,113,29.8141592920354,14.230088495575222,44.04424778761062,5
6,11-2019,100,87,43,103,27.796116504854368,14.174757281553399,41.970873786407765,5
7,12-2019,100,73,47,114,25.29824561403509,14.166666666666666,39.46491228070175,5
8,1-2020,100,62,49,111,22.73873873873874,13.9009009009009,36.63963963963964,5
9,2-2020,100,63,46,99,19.494949494949495,14.01010101010101,33.505050505050505,5
10,3-2020,100,46,48,117,16.931623931623932,13.743589743589743,30.675213675213676,5
11,4-2020,100,34,49,112,14.089285714285714,13.839285714285714,27.928571428571427,5
0,5-2019,100,136,44,114,,8.973684210526315,,6
1,6-2019,100,121,44,115,32.172413793103445,13.226086956521739,45.13793103448276,6
2,7-2019,100,109,48,112,32.955357142857146,14.223214285714286,47.17857142857143,6
3,8-2019,100,100,49,109,34.18348623853211,13.779816513761467,47.96330275229358,6
4,9-2019,100,90,46,110,30.772727272727273,13.972727272727273,44.74545454545454,6
5,10-2019,100,77,49,113,27.265486725663717,13.743362831858407,41.008849557522126,6
6,11-2019,100,70,47,107,24.22429906542056,13.682242990654206,37.90654205607477,6
7,12-2019,100,61,44,109,21.03669724770642,13.779816513761467,34.81651376146789,6
8,1-2020,100,49,46,112,17.714285714285715,13.964285714285714,31.678571428571427,6
9,2-2020,100,45,44,104,14.375,13.942307692307692,28.317307692307693,6
10,3-2020,100,32,50,113,12.353982300884956,14.212389380530974,26.56637168141593,6
11,4-2020,100,29,47,103,10.271844660194175,14.116504854368932,24.388349514563107,6
0,5-2019,100,145,46,105,,8.866666666666667,,7
1,6-2019,100,131,46,114,34.473684210526315,14.25438596491228,48.0,7
2,7-2019,100,118,45,113,35.15929203539823,13.84070796460177,49.0,7
3,8-2019,100,110,44,108,36.50925925925926,13.962962962962964,50.47222222222222,7
4,9-2019,100,100,46,110,33.627272727272725,14.190909090909091,47.81818181818182,7
5,10-2019,100,91,48,109,30.568807339449542,13.972477064220184,44.54128440366973,7
6,11-2019,100,81,47,110,28.036363636363635,13.981818181818182,42.018181818181816,7
7,12-2019,100,72,45,109,25.027522935779817,13.770642201834862,38.79816513761468,7
8,1-2020,100,62,45,110,21.80909090909091,13.827272727272728,35.63636363636363,7
9,2-2020,100,55,47,107,18.1588785046729,13.925233644859814,32.08411214953271,7
10,3-2020,100,47,47,108,16.194444444444443,14.287037037037036,30.48148148148148,7
11,4-2020,100,41,50,106,14.443396226415095,14.0,28.443396226415093,7
0,5-2019,100,147,45,103,,9.679611650485437,,8
1,6-2019,100,129,48,118,34.38095238095238,13.88135593220339,48.333333333333336,8
2,7-2019,100,118,47,111,35.37837837837838,13.837837837837839,49.21621621621622,8
3,8-2019,100,111,43,107,36.51401869158879,14.05607476635514,50.570093457943926,8
4,9-2019,100,99,49,112,33.875,14.080357142857142,47.955357142857146,8
5,10-2019,100,85,50,114,30.587719298245613,13.596491228070175,44.18421052631579,8
6,11-2019,100,82,44,103,27.194174757281555,13.922330097087379,41.116504854368934,8
7,12-2019,100,64,49,118,23.85593220338983,13.627118644067796,37.483050847457626,8
8,1-2020,100,54,49,110,20.318181818181817,13.663636363636364,33.981818181818184,8
9,2-2020,100,50,46,104,16.634615384615383,13.701923076923077,30.33653846153846,8
10,3-2020,100,34,46,116,13.758620689655173,13.655172413793103,27.413793103448278,8
11,4-2020,100,27,47,107,10.588785046728972,14.233644859813085,24.822429906542055,8
0,5-2019,100,143,46,107,,9.373831775700934,,9
1,6-2019,100,136,46,107,35.07142857142857,14.233644859813085,48.07142857142857,9
2,7-2019,100,126,46,110,35.6,14.118181818181819,49.71818181818182,9
3,8-2019,100,111,47,115,37.54782608695652,13.721739130434782,51.2695652173913,9
4,9-2019,100,100,48,111,33.792792792792795,13.765765765765765,47.55855855855856,9
5,10-2019,100,87,47,113,30.115044247787612,13.663716814159292,43.7787610619469,9
6,11-2019,100,81,48,106,27.11320754716981,14.264150943396226,41.37735849056604,9
7,12-2019,100,71,46,110,24.654545454545456,13.909090909090908,38.56363636363636,9
8,1-2020,100,59,47,112,21.517857142857142,13.696428571428571,35.214285714285715,9
9,2-2020,100,54,45,105,17.733333333333334,13.82857142857143,31.561904761904763,9
10,3-2020,100,45,44,109,15.238532110091743,14.110091743119266,29.34862385321101,9
11,4-2020,100,42,46,103,13.640776699029127,14.310679611650485,27.95145631067961,9
